Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Priority,Ticket Channel,Assigned Agent,Agent Quality Score,First Response Time (hrs),Resolution Time (hrs),Num Interactions,SLA Breached,Reopened,Resolved First Contact,Purchase Days Ago,Customer Satisfaction Rating
1040,51,Male,Xbox Controller,15-01-2021,Refund request,Low,Phone,Agent_009,2.55,0.25,32.95,3,0,0,0,121,2
1041,39,Male,Sony WH-1000XM5,16-01-2021,Billing inquiry,Medium,Social media,Agent_005,5.0,7.68,35.15,2,1,0,0,721,2
1042,30,Female,Dell XPS 13,16-01-2021,Cancellation request,Critical,Social media,Agent_010,3.41,6.3,1.61,2,0,0,0,463,4
1043,32,Male,HP Elite Laptop,16-01-2021,Technical issue,Low,Chat,Agent_030,2.97,0.23,37.44,5,0,0,0,240,2
1044,57,Female,MacBook Air,17-01-2021,Cancellation request,High,Chat,Agent_007,4.34,0.4,5.79,1,0,0,1,21,4
1045,55,Male,iPhone 15,17-01-2021,Refund request,High,Email,Agent_029,2.33,0.71,12.39,4,1,1,0,448,2
1046,58,Female,iPhone 15,17-01-2021,Technical issue,Low,Email,Agent_002,2.83,3.59,69.51,2,1,0,0,329,1
1047,60,Male,LG Monitor,18-01-2021,Billing inquiry,Medium,Chat,Agent_020,3.73,0.54,9.97,2,0,0,0,448,4
1048,61,Female,HP Elite Laptop,18-01-2021,Billing inquiry,Medium,Phone,Agent_004,1.73,0.73,41.16,2,1,0,0,605,2
1049,19,Female,Dell XPS 13,19-01-2021,Cancellation request,Low,Phone,Agent_028,2.13,0.62,4.17,1,0,0,1,255,3
1050,19,Male,Bose QuietComfort,19-01-2021,Technical issue,Critical,Email,Agent_008,3.14,4.64,0.52,2,0,0,0,162,4
1051,60,Other,Sony WH-1000XM5,19-01-2021,Technical issue,High,Chat,Agent_035,3.42,0.28,1.87,6,0,0,0,303,4
1052,25,Female,MacBook Air,20-01-2021,Cancellation request,Medium,Phone,Agent_002,2.83,0.09,10.97,3,0,0,0,188,3
1053,55,Female,Xbox Controller,20-01-2021,Cancellation request,Medium,Social media,Agent_041,3.03,8.53,19.02,1,0,0,1,624,3
1054,35,Female,GoPro Hero,20-01-2021,Product inquiry,High,Email,Agent_028,2.13,4.38,3.91,1,0,0,1,30,3
1055,46,Female,GoPro Hero,21-01-2021,Product inquiry,Medium,Email,Agent_011,4.02,3.56,9.69,4,0,0,0,436,4
1056,28,Female,MacBook Air,21-01-2021,Cancellation request,Low,Social media,Agent_036,2.93,5.32,59.29,1,1,0,1,315,1
1057,23,Male,Dell XPS 13,22-01-2021,Refund request,Medium,Social media,Agent_009,2.55,7.13,19.83,3,0,0,0,388,3
1058,26,Male,MacBook Air,22-01-2021,Product inquiry,Critical,Email,Agent_038,3.41,4.29,2.93,2,1,0,0,680,3
1059,39,Male,HP Elite Laptop,22-01-2021,Cancellation request,Low,Social media,Agent_001,3.7,4.64,68.88,3,1,0,0,480,1
1060,63,Male,GoPro Hero,23-01-2021,Technical issue,Medium,Phone,Agent_027,4.57,0.88,25.35,3,1,0,0,608,3
1061,68,Male,LG Monitor,23-01-2021,Product inquiry,Critical,Email,Agent_003,4.1,4.22,2.83,2,1,0,0,135,3
1062,42,Male,HP Elite Laptop,23-01-2021,Refund request,Low,Phone,Agent_039,4.04,0.4,42.13,3,0,0,0,38,2
1063,48,Female,GoPro Hero,24-01-2021,Billing inquiry,Critical,Email,Agent_009,2.55,6.52,0.89,2,0,0,0,288,3
1064,38,Male,Bose QuietComfort,24-01-2021,Technical issue,Medium,Phone,Agent_040,4.48,0.36,6.49,5,0,1,0,69,3
1065,55,Male,Sony WH-1000XM5,25-01-2021,Refund request,Low,Chat,Agent_028,2.13,0.06,0.36,4,0,0,0,67,3
1066,69,Female,iPhone 15,25-01-2021,Refund request,Low,Phone,Agent_021,3.73,0.22,64.89,1,1,0,1,568,1
1067,36,Male,HP Elite Laptop,25-01-2021,Refund request,Low,Social media,Agent_028,2.13,8.04,50.13,4,1,0,0,192,1
1068,27,Female,iPhone 15,26-01-2021,Technical issue,Low,Chat,Agent_045,2.19,0.54,25.0,3,0,0,0,120,2
1069,63,Male,iPhone 15,26-01-2021,Refund request,Low,Email,Agent_024,4.32,1.62,61.84,3,1,0,0,401,1
1070,54,Other,GoPro Hero,26-01-2021,Billing inquiry,Medium,Phone,Agent_018,2.31,0.4,24.07,6,1,0,0,400,2
1071,29,Female,HP Elite Laptop,27-01-2021,Product inquiry,Low,Email,Agent_009,2.55,2.18,24.62,4,0,0,0,523,2
1072,36,Male,Sony WH-1000XM5,27-01-2021,Technical issue,High,Chat,Agent_026,1.33,0.48,4.22,2,0,1,0,658,3
1073,19,Male,Bose QuietComfort,28-01-2021,Refund request,High,Social media,Agent_024,4.32,2.11,6.77,2,0,0,0,14,4
1074,32,Female,Samsung Galaxy,28-01-2021,Cancellation request,Critical,Social media,Agent_006,2.49,7.52,3.32,2,1,1,0,546,2
1075,55,Female,LG Monitor,28-01-2021,Product inquiry,Medium,Social media,Agent_012,1.96,5.53,23.78,2,0,0,0,716,3
1076,25,Female,iPhone 15,29-01-2021,Technical issue,Critical,Email,Agent_036,2.93,2.24,1.41,1,0,0,1,598,3
1077,63,Female,Sony WH-1000XM5,29-01-2021,Cancellation request,Low,Social media,Agent_009,2.55,3.95,99.74,1,1,0,1,469,1
1078,52,Male,Xbox Controller,29-01-2021,Cancellation request,Low,Social media,Agent_010,3.41,4.48,70.2,1,1,1,1,154,1
1079,55,Male,Xbox Controller,30-01-2021,Refund request,Medium,Email,Agent_003,4.1,2.74,34.98,5,1,0,0,170,2
1080,60,Male,Samsung Galaxy,30-01-2021,Technical issue,High,Email,Agent_049,1.69,2.03,12.07,5,1,0,0,679,2
1081,47,Female,Samsung Galaxy,31-01-2021,Refund request,Critical,Chat,Agent_029,2.33,0.66,3.38,2,1,0,0,386,2
1082,26,Female,Samsung Galaxy,31-01-2021,Billing inquiry,High,Social media,Agent_007,4.34,6.5,9.88,2,1,0,0,697,3
1083,47,Male,LG Monitor,31-01-2021,Cancellation request,Medium,Chat,Agent_026,1.33,0.49,24.44,3,1,0,0,306,2
1084,66,Male,LG Monitor,01-02-2021,Billing inquiry,High,Phone,Agent_008,3.14,0.59,8.63,3,1,0,0,625,3
1085,36,Male,Bose QuietComfort,01-02-2021,Refund request,Low,Phone,Agent_043,3.9,0.62,15.07,1,0,0,1,656,3
1086,46,Male,iPhone 15,01-02-2021,Product inquiry,Medium,Phone,Agent_013,3.76,0.47,3.09,1,0,0,1,318,5
1087,19,Female,Dell XPS 13,02-02-2021,Cancellation request,Medium,Phone,Agent_035,3.42,0.83,32.71,6,1,0,0,354,2
1088,45,Female,Xbox Controller,02-02-2021,Product inquiry,Low,Email,Agent_019,3.74,3.18,91.88,2,1,0,0,211,1
1089,25,Female,GoPro Hero,03-02-2021,Technical issue,Low,Chat,Agent_046,2.74,0.25,39.12,3,0,0,0,703,2
1090,42,Male,GoPro Hero,03-02-2021,Cancellation request,High,Chat,Agent_022,3.54,0.15,13.75,3,1,0,0,694,3
1091,27,Male,Samsung Galaxy,03-02-2021,Billing inquiry,Medium,Email,Agent_016,3.21,1.75,42.62,5,1,0,0,455,2
1092,39,Female,MacBook Air,04-02-2021,Product inquiry,Medium,Phone,Agent_015,3.66,0.51,18.01,3,0,0,0,667,3
1093,52,Female,Xbox Controller,04-02-2021,Technical issue,Medium,Chat,Agent_002,2.83,0.36,38.71,2,1,0,0,192,2
1094,59,Female,Dell XPS 13,04-02-2021,Cancellation request,Critical,Social media,Agent_038,3.41,2.13,2.83,2,1,0,0,593,3
1095,41,Female,Dell XPS 13,05-02-2021,Technical issue,Medium,Email,Agent_021,3.73,0.27,20.3,2,0,0,0,335,3
1096,43,Female,GoPro Hero,05-02-2021,Billing inquiry,Low,Email,Agent_030,2.97,6.37,60.96,1,1,0,1,561,1
1097,48,Female,MacBook Air,06-02-2021,Cancellation request,Medium,Social media,Agent_007,4.34,5.06,27.63,4,1,1,0,567,2
1098,40,Male,Dell XPS 13,06-02-2021,Technical issue,High,Phone,Agent_031,1.88,0.47,0.35,2,0,0,0,67,3
1099,19,Male,Xbox Controller,06-02-2021,Refund request,Low,Phone,Agent_041,3.03,0.6,107.93,1,1,0,1,627,1
1100,56,Male,iPhone 15,07-02-2021,Cancellation request,Medium,Chat,Agent_041,3.03,0.19,11.31,3,0,0,0,112,4
1101,50,Male,Sony WH-1000XM5,07-02-2021,Cancellation request,Medium,Social media,Agent_049,1.69,7.78,26.55,2,1,0,0,671,2
1102,41,Female,MacBook Air,07-02-2021,Cancellation request,Medium,Chat,Agent_035,3.42,0.28,46.21,4,1,0,0,107,2
1103,29,Male,Dell XPS 13,08-02-2021,Cancellation request,Medium,Phone,Agent_004,1.73,0.37,20.93,2,0,0,0,26,3
1104,54,Female,MacBook Air,08-02-2021,Refund request,High,Chat,Agent_034,3.01,0.26,5.23,3,0,0,0,622,4
1105,26,Female,MacBook Air,09-02-2021,Billing inquiry,Critical,Social media,Agent_001,3.7,3.37,2.33,3,1,0,0,66,3
1106,61,Male,iPhone 15,09-02-2021,Refund request,Critical,Social media,Agent_010,3.41,2.23,1.85,2,0,1,0,414,3
1107,60,Male,Xbox Controller,09-02-2021,Refund request,High,Social media,Agent_030,2.97,6.15,13.1,3,1,0,0,717,2
1108,61,Female,GoPro Hero,10-02-2021,Technical issue,Medium,Phone,Agent_032,2.89,0.7,14.17,4,0,0,0,613,3
1109,20,Male,iPhone 15,10-02-2021,Product inquiry,High,Email,Agent_003,4.1,1.08,5.91,1,0,0,1,500,4
1110,61,Male,Dell XPS 13,10-02-2021,Product inquiry,High,Email,Agent_010,3.41,2.64,7.85,3,0,0,0,718,4
1111,40,Male,Samsung Galaxy,11-02-2021,Technical issue,High,Email,Agent_009,2.55,3.25,3.05,2,0,0,0,1,3
1112,41,Male,iPhone 15,11-02-2021,Refund request,Low,Chat,Agent_017,2.74,0.27,34.97,4,0,0,0,582,2
1113,50,Female,Samsung Galaxy,12-02-2021,Technical issue,Low,Social media,Agent_047,4.36,7.05,35.17,3,0,0,0,662,2
1114,47,Female,HP Elite Laptop,12-02-2021,Cancellation request,Critical,Phone,Agent_003,4.1,0.94,0.93,2,0,1,0,459,4
1115,55,Female,GoPro Hero,12-02-2021,Technical issue,Critical,Email,Agent_027,4.57,3.76,1.58,3,0,0,0,369,4
1116,60,Female,Xbox Controller,13-02-2021,Technical issue,Medium,Email,Agent_035,3.42,3.05,33.08,2,1,0,0,727,2
1117,19,Female,Sony WH-1000XM5,13-02-2021,Cancellation request,Critical,Chat,Agent_004,1.73,0.24,0.2,3,0,0,0,142,3
1118,57,Male,MacBook Air,13-02-2021,Product inquiry,High,Chat,Agent_004,1.73,0.13,12.26,3,1,0,0,14,2
1119,39,Female,Samsung Galaxy,14-02-2021,Cancellation request,Medium,Email,Agent_049,1.69,1.85,17.91,3,0,0,0,468,3
1120,28,Female,Sony WH-1000XM5,14-02-2021,Billing inquiry,Medium,Social media,Agent_032,2.89,6.9,28.12,2,1,0,0,711,2
1121,29,Female,Sony WH-1000XM5,15-02-2021,Technical issue,Medium,Social media,Agent_038,3.41,2.59,36.23,3,1,0,0,531,2
1122,36,Female,Samsung Galaxy,15-02-2021,Technical issue,Medium,Chat,Agent_011,4.02,0.53,12.93,2,0,0,0,410,3
1123,37,Male,Sony WH-1000XM5,15-02-2021,Product inquiry,Critical,Chat,Agent_044,2.21,0.29,2.65,3,1,1,0,150,1
1124,26,Male,MacBook Air,16-02-2021,Refund request,Medium,Social media,Agent_039,4.04,2.21,8.49,5,0,0,0,333,4
1125,60,Male,Bose QuietComfort,16-02-2021,Cancellation request,High,Chat,Agent_045,2.19,0.38,2.61,4,0,0,0,74,3
1126,35,Male,HP Elite Laptop,16-02-2021,Refund request,High,Chat,Agent_006,2.49,0.22,7.22,1,0,0,1,438,3
1127,58,Female,Samsung Galaxy,17-02-2021,Billing inquiry,Low,Social media,Agent_035,3.42,7.2,44.36,2,0,0,0,383,2
1128,64,Female,MacBook Air,17-02-2021,Cancellation request,Low,Social media,Agent_046,2.74,3.01,71.35,5,1,0,0,351,1
1129,35,Male,GoPro Hero,18-02-2021,Billing inquiry,High,Phone,Agent_032,2.89,0.06,2.3,2,0,0,0,266,3
1130,57,Female,Samsung Galaxy,18-02-2021,Billing inquiry,Low,Chat,Agent_046,2.74,0.27,62.37,3,1,0,0,657,1
1131,53,Male,MacBook Air,18-02-2021,Billing inquiry,High,Chat,Agent_023,3.96,0.11,6.53,3,0,0,0,645,4
1132,44,Male,MacBook Air,19-02-2021,Cancellation request,Low,Phone,Agent_042,4.66,0.74,44.8,3,0,0,0,405,2
1133,30,Male,iPhone 15,19-02-2021,Cancellation request,Medium,Chat,Agent_037,2.88,0.51,1.95,3,0,0,0,423,3
1134,64,Male,Bose QuietComfort,19-02-2021,Product inquiry,Low,Chat,Agent_026,1.33,0.26,42.63,4,0,0,0,660,2
1135,25,Female,Samsung Galaxy,20-02-2021,Technical issue,Medium,Email,Agent_034,3.01,5.39,33.02,3,1,0,0,79,2
1136,65,Male,Xbox Controller,20-02-2021,Refund request,Low,Email,Agent_038,3.41,1.79,40.48,1,0,1,1,309,2
1137,60,Female,MacBook Air,21-02-2021,Refund request,Critical,Email,Agent_011,4.02,2.58,1.82,3,0,0,0,727,3
1138,40,Female,HP Elite Laptop,21-02-2021,Billing inquiry,Medium,Phone,Agent_050,3.02,0.28,46.18,4,1,0,0,33,2
1139,30,Male,iPhone 15,21-02-2021,Cancellation request,Critical,Chat,Agent_021,3.73,0.1,2.13,5,1,0,0,428,4
1140,24,Other,MacBook Air,22-02-2021,Cancellation request,Critical,Phone,Agent_043,3.9,0.64,0.4,3,0,0,0,706,4
1141,67,Other,Samsung Galaxy,22-02-2021,Billing inquiry,Critical,Phone,Agent_024,4.32,0.92,0.6,3,0,1,0,690,4
1142,57,Male,Dell XPS 13,22-02-2021,Technical issue,Medium,Chat,Agent_015,3.66,0.28,41.6,4,1,0,0,335,2
1143,19,Female,MacBook Air,23-02-2021,Refund request,High,Social media,Agent_003,4.1,5.06,6.09,5,0,0,0,455,4
1144,20,Male,LG Monitor,23-02-2021,Product inquiry,Low,Social media,Agent_002,2.83,1.93,67.05,3,1,1,0,713,1
1145,59,Male,Dell XPS 13,24-02-2021,Technical issue,Low,Chat,Agent_007,4.34,0.26,38.58,2,0,0,0,412,2
1146,56,Male,MacBook Air,24-02-2021,Cancellation request,Critical,Social media,Agent_005,5.0,1.21,2.58,1,1,0,1,470,5
1147,40,Female,Sony WH-1000XM5,24-02-2021,Billing inquiry,Low,Email,Agent_045,2.19,5.3,36.86,3,0,0,0,515,2
1148,24,Female,MacBook Air,25-02-2021,Refund request,Critical,Chat,Agent_040,4.48,0.17,2.04,3,1,0,0,565,4
1149,21,Male,GoPro Hero,25-02-2021,Billing inquiry,High,Phone,Agent_029,2.33,0.55,9.95,5,1,0,0,121,2
1150,25,Male,Sony WH-1000XM5,25-02-2021,Cancellation request,Medium,Email,Agent_041,3.03,5.42,8.9,5,0,0,0,150,4
1151,49,Female,Samsung Galaxy,26-02-2021,Billing inquiry,Low,Phone,Agent_032,2.89,0.58,54.69,3,1,0,0,153,1
1152,36,Male,HP Elite Laptop,26-02-2021,Refund request,High,Social media,Agent_030,2.97,4.79,8.89,4,1,0,0,729,2
1153,29,Male,Dell XPS 13,27-02-2021,Billing inquiry,Medium,Chat,Agent_008,3.14,0.4,5.47,4,0,0,0,647,4
1154,27,Female,Xbox Controller,27-02-2021,Refund request,High,Email,Agent_032,2.89,1.13,18.86,3,1,1,0,256,2
1155,31,Other,iPhone 15,27-02-2021,Billing inquiry,Medium,Chat,Agent_042,4.66,0.08,19.68,1,0,0,1,574,3
1156,44,Male,HP Elite Laptop,28-02-2021,Billing inquiry,Low,Email,Agent_002,2.83,3.4,22.58,3,0,0,0,63,3
1157,61,Female,Sony WH-1000XM5,28-02-2021,Refund request,Medium,Email,Agent_010,3.41,3.23,41.84,4,1,1,0,293,2
1158,38,Female,iPhone 15,28-02-2021,Billing inquiry,Medium,Email,Agent_043,3.9,3.52,9.05,3,0,0,0,68,4
1159,37,Male,Dell XPS 13,01-03-2021,Technical issue,Low,Chat,Agent_043,3.9,0.13,33.2,5,0,0,0,225,2
1160,21,Female,Xbox Controller,01-03-2021,Product inquiry,Low,Email,Agent_037,2.88,1.03,51.57,1,1,0,1,649,1
1161,36,Male,LG Monitor,02-03-2021,Technical issue,Medium,Email,Agent_046,2.74,3.22,16.99,2,0,0,0,454,3
1162,46,Female,LG Monitor,02-03-2021,Product inquiry,High,Chat,Agent_003,4.1,0.32,10.29,1,1,0,1,558,3
1163,24,Female,Xbox Controller,02-03-2021,Technical issue,High,Phone,Agent_023,3.96,0.78,10.37,1,1,0,1,607,3
1164,50,Female,iPhone 15,03-03-2021,Product inquiry,Low,Social media,Agent_034,3.01,5.8,29.35,1,0,1,1,290,2
1165,25,Male,Samsung Galaxy,03-03-2021,Billing inquiry,High,Chat,Agent_018,2.31,0.53,14.07,4,1,0,0,247,2
1166,28,Female,iPhone 15,03-03-2021,Refund request,High,Chat,Agent_033,2.44,0.52,6.96,2,0,0,0,316,3
1167,50,Male,MacBook Air,04-03-2021,Refund request,Medium,Email,Agent_033,2.44,3.97,26.59,2,1,0,0,292,2
1168,42,Male,iPhone 15,04-03-2021,Cancellation request,Medium,Chat,Agent_017,2.74,0.33,19.51,2,0,1,0,480,3
1169,50,Male,Samsung Galaxy,05-03-2021,Product inquiry,Medium,Chat,Agent_006,2.49,0.4,18.85,2,0,0,0,214,3
1170,53,Female,HP Elite Laptop,05-03-2021,Cancellation request,Low,Social media,Agent_013,3.76,6.12,46.47,2,0,0,0,560,2
1171,43,Female,Dell XPS 13,05-03-2021,Cancellation request,Medium,Chat,Agent_021,3.73,0.53,46.35,4,1,1,0,605,2
1172,53,Male,iPhone 15,06-03-2021,Product inquiry,Medium,Email,Agent_031,1.88,2.52,29.23,4,1,0,0,518,2
1173,28,Female,Dell XPS 13,06-03-2021,Refund request,Medium,Social media,Agent_021,3.73,6.11,11.55,3,0,1,0,193,3
1174,47,Male,Sony WH-1000XM5,06-03-2021,Product inquiry,Critical,Chat,Agent_033,2.44,0.14,2.28,7,1,0,0,615,2
1175,50,Female,LG Monitor,07-03-2021,Billing inquiry,Medium,Email,Agent_028,2.13,2.48,17.45,4,0,0,0,434,3
1176,27,Male,LG Monitor,07-03-2021,Cancellation request,High,Social media,Agent_006,2.49,5.62,12.08,2,1,0,0,74,2
1177,46,Female,Samsung Galaxy,08-03-2021,Cancellation request,High,Chat,Agent_008,3.14,0.41,7.75,5,0,0,0,74,4
1178,42,Male,Sony WH-1000XM5,08-03-2021,Product inquiry,Low,Email,Agent_013,3.76,3.98,14.06,6,0,0,0,625,3
1179,49,Female,LG Monitor,08-03-2021,Cancellation request,Critical,Social media,Agent_034,3.01,3.25,2.61,3,1,0,0,664,3
1180,21,Male,Samsung Galaxy,09-03-2021,Refund request,Low,Email,Agent_040,4.48,3.13,28.28,2,0,0,0,263,2
1181,56,Male,iPhone 15,09-03-2021,Cancellation request,Critical,Social media,Agent_022,3.54,3.8,2.6,3,1,0,0,86,3
1182,51,Male,Sony WH-1000XM5,09-03-2021,Product inquiry,Low,Chat,Agent_001,3.7,0.63,71.16,3,1,1,0,58,1
1183,39,Female,MacBook Air,10-03-2021,Refund request,Medium,Phone,Agent_013,3.76,0.17,20.77,2,0,0,0,661,3
1184,30,Female,MacBook Air,10-03-2021,Refund request,High,Social media,Agent_001,3.7,10.36,7.55,2,0,1,0,726,3
1185,68,Male,MacBook Air,11-03-2021,Cancellation request,Critical,Chat,Agent_010,3.41,0.45,2.37,3,1,0,0,417,3
1186,53,Female,HP Elite Laptop,11-03-2021,Product inquiry,Low,Social media,Agent_005,5.0,1.79,32.3,4,0,0,0,281,2
1187,23,Female,MacBook Air,11-03-2021,Cancellation request,High,Phone,Agent_020,3.73,0.43,8.56,3,1,0,0,607,3
1188,34,Female,Sony WH-1000XM5,12-03-2021,Billing inquiry,High,Email,Agent_013,3.76,3.42,9.03,6,1,0,0,208,4
1189,43,Female,GoPro Hero,12-03-2021,Billing inquiry,Low,Phone,Agent_037,2.88,0.54,26.92,3,0,0,0,143,2
1190,41,Male,LG Monitor,12-03-2021,Refund request,Medium,Phone,Agent_010,3.41,0.15,38.58,3,1,0,0,413,3
1191,26,Male,MacBook Air,13-03-2021,Cancellation request,Medium,Email,Agent_003,4.1,1.31,3.55,4,0,0,0,595,4
1192,19,Female,Sony WH-1000XM5,13-03-2021,Billing inquiry,Medium,Phone,Agent_034,3.01,0.58,33.89,4,1,1,0,52,2
1193,37,Female,Bose QuietComfort,14-03-2021,Technical issue,High,Chat,Agent_034,3.01,0.14,13.72,5,1,1,0,17,3
1194,44,Female,iPhone 15,14-03-2021,Billing inquiry,Critical,Social media,Agent_030,2.97,7.14,2.99,2,1,0,0,419,2
1195,23,Male,HP Elite Laptop,14-03-2021,Cancellation request,High,Phone,Agent_037,2.88,0.48,3.97,4,0,0,0,424,2
1196,67,Male,Dell XPS 13,15-03-2021,Cancellation request,Critical,Social media,Agent_004,1.73,6.53,3.07,3,1,0,0,201,2
1197,44,Female,Samsung Galaxy,15-03-2021,Billing inquiry,Low,Social media,Agent_034,3.01,2.29,98.7,3,1,0,0,418,1
1198,41,Female,Bose QuietComfort,15-03-2021,Cancellation request,Low,Email,Agent_032,2.89,1.02,43.88,2,0,0,0,442,2
1199,32,Female,Bose QuietComfort,16-03-2021,Cancellation request,Critical,Phone,Agent_021,3.73,0.81,2.2,4,1,0,0,502,3
1200,65,Female,HP Elite Laptop,16-03-2021,Technical issue,Critical,Email,Agent_041,3.03,2.95,2.97,2,1,0,0,82,3
1201,50,Female,Samsung Galaxy,17-03-2021,Refund request,Low,Email,Agent_024,4.32,0.57,27.26,4,0,1,0,640,2
1202,59,Male,HP Elite Laptop,17-03-2021,Cancellation request,Medium,Social media,Agent_009,2.55,2.97,5.79,2,0,0,0,80,3
1203,27,Male,MacBook Air,17-03-2021,Product inquiry,High,Chat,Agent_041,3.03,0.38,9.88,2,1,0,0,189,4
